t,est_accuracy_l2
1,21.34226769581437
2,16.20061844587326
3,14.316890589892864
4,12.36147855501622
5,11.425345281139016
6,10.360585966147482
7,10.139260231517255
8,9.282746030483395
9,10.200282857753336
10,10.382121823728085
11,10.114690907299519
12,10.312194823054597
13,10.78031353186816
14,10.715842534787953
15,10.643484550062567
16,10.678955843206495
17,10.987895830534399
18,11.108218685723841
19,11.046392721123993
20,11.047459823079407
21,11.01837539859116
22,11.047887662425637
23,11.047368558123708
24,11.10991638340056
25,11.246056215837598
26,11.290985512547195
27,11.280819208361208
28,11.135474087670445
29,11.098454144783318
30,11.278886052779853
31,11.295191198587418
32,11.057390499860048
33,11.142701162025332
34,11.2484530210495
35,11.305240562185645
36,11.094299534335732
37,11.073660007677972
